text,clean,개인지칭,기타혐오,성별,성소수자,악플욕설,연령,인종국적,종교,지역
나도 송해 아저씨처럼 아흔 넘어도 정정하면 좋겠다.,1,1,0,0,0,0,0,0,0,0
김다미는 영화배우치고는 너무 얼굴이 못생겼어,0,1,0,0,0,1,0,0,0,0
호날두 얼굴 시커먼슨데 유럽인 맞음? 포루투칼 사람이 왜 백인으로 분류되는 거야? 얼굴만봐선 이해가 안됨. 누가 설명좀??,0,1,0,0,0,0,0,1,0,0
요즘 젊은이들은 우리세대랑 너무 달라,1,0,0,0,0,0,0,0,0,0
신동은 살 빼기 전이 더 잘생겼어,0,1,0,0,0,0,0,0,0,0
홍진경 볼 때마다 진격의 거인에서 에렌 엄마 잡아먹는 10미터급 거인 생각남.,0,1,0,0,0,1,0,0,0,0
요즘 오십견이 와서 어깨를 제대로 못 쓰겠어.,1,0,0,0,0,0,0,0,0,0
밥을 꼭꼭 오래 씹어 먹으면 소화가 잘된다고 한다.,1,0,0,0,0,0,0,0,0,0
아니 뭘 했다고 사람을 저렇게 병신을 만들어.. 너무 심한거 아냐? 아무리 그래도 그렇지 조두순도 저거보단 나을 듯,1,1,0,0,0,0,0,0,0,0
우리 과장님은 할줄 아는게 없나봄?,0,1,0,0,0,0,0,0,0,0
히틀러가 왜 유대인을 학살했는지 잘 알겠다.,0,1,0,0,0,0,0,1,0,0
솔까 외모는 동양인보다 백인이 낫지.,0,0,0,0,0,0,0,1,0,0
